     word     |                                                                                                                                        meaning_1                                                                                                                                        |                                                                            example_1                                                                             
 moving       | Duyguları etkileyen, insanı ağlatacak veya düşündürecek kadar güçlü hissettiren.                                                                                                                                                                                                        | It was a moving story about friendship. (O, dostluk hakkında duygulandıran bir hikayeydi.)
 ran          | Hızlıca yürümek veya koşmak.                                                                                                                                                                                                                                                            | She ran to catch the bus. (Otobüse yetişmek için hızlıca koştu.)
 selfie       | Kişinin kendi fotoğrafını, genellikle cep telefonu ile çekmesi.                                                                                                                                                                                                                         | She took a selfie at the beach. (O, plajda kendi fotoğrafını çekti.)
 year         | Dünyanın bir kez Güneş'in etrafında dönmesiyle geçen zaman.                                                                                                                                                                                                                             | There are twelve months in a year. (Bir yılda on iki ay vardır.)
 sweetheart   | Sevilen veya çok değer verilen kişi, genellikle sevgili veya eş anlamında kullanılır.                                                                                                                                                                                                   | She called him her sweetheart. (Ona sevgilisi dedi.)
 harbour      | Gemilerin güvenle demirleyip durabileceği, kıyıya yakın su alanı.                                                                                                                                                                                                                       | The ship entered the harbour safely. (Gemi güvenle limana girdi.)
 good         | İyi, olumlu ya da faydalı olan şey.                                                                                                                                                                                                                                                     | She is a good student. (O, iyi bir öğrencidir.)
 flight       | Bir yerden başka bir yere uçakla gitme durumu.                                                                                                                                                                                                                                          | The flight to Istanbul was delayed. (İstanbul'a uçuş gecikti.)
 after        | Bir şeyin başka bir şeyden sonra olduğunu belirtir.                                                                                                                                                                                                                                     | We went home after the movie. (Filmden sonra eve gittik.)
 exception    | Genel kuralın dışında olan durum veya kişi.                                                                                                                                                                                                                                             | Everyone was on time except John, who was the exception. (Herkes zamanında geldi, John hariç o istisnaydı.)
 staying      | Bir yerde kalmak veya durmak.                                                                                                                                                                                                                                                           | I am staying at my friend's house tonight. (Bu gece arkadaşımın evinde kalıyorum.)
 roll         | Yuvarlanmak veya bir şeyin yuvarlanmasını sağlamak.                                                                                                                                                                                                                                     | The ball rolls down the hill. (Top tepenin aşağısına doğru yuvarlanıyor.)
 ketchup      | Domates ve baharatlarla yapılan, yiyeceklerin yanında kullanılan kırmızı sos.                                                                                                                                                                                                           | I like to put ketchup on my fries. (Patates kızartmalarımın üzerine ketçap sürmeyi severim.)
 musician     | Müzik yapan veya müzikle ilgilenen kişi.                                                                                                                                                                                                                                                | She is a talented musician who plays the piano. (O, piyano çalan yetenekli bir müzisyendir.)
 obvious      | Kolayca görülebilen veya anlaşılan, açık ve belli olan.                                                                                                                                                                                                                                 | It is obvious that he is tired. (Onun yorgun olduğu çok açık.)
 weird        | Normalden farklı, garip veya tuhaf olan şey.                                                                                                                                                                                                                                            | That movie was really weird. (O film gerçekten çok garipti.)
 address      | Bir kişinin veya yerin tam konumunu gösteren bilgi.                                                                                                                                                                                                                                     | Please write your home address on the form. (Lütfen formda ev adresinizi yazınız.)
 warrant      | Bir kişinin veya şeyin yasal olarak yapılmasına izin veren resmi belge.                                                                                                                                                                                                                 | The police showed a warrant before entering the house. (Polis eve girmeden önce resmi izin belgesini gösterdi.)
 left         | Bir kişinin veya nesnenin vücudun sol tarafında veya yönünde olması durumu.                                                                                                                                                                                                             | Turn left at the next street. (Sonraki sokakta sola dön.)
 pick         | Bir şeyleri el ile seçmek veya toplamak.                                                                                                                                                                                                                                                | She picked some flowers from the garden. (Bahçeden birkaç çiçek topladı.)
 ezekiel      | Eski Ahit'te adı geçen bir peygamber; güçlü vizyonları (ör. 'kuru kemiklerin vadisi') ile bilinir. Ayrıca İngilizcede erkek adı olarak kullanılır.                                                                                                                                      | Ezekiel was a prophet in the Old Testament. (Ezekiel, Eski Ahit'te bir peygamberdi; özellikle vizyonlarıyla bilinir.)
 pervert      | Bir şeyi (gerçeği, amacı, yasayı vb.) kasıtlı olarak yanlış veya kötü niyetle çarpıtmak; bozulmasına yol açmak.                                                                                                                                                                         | He perverted the truth to make himself look better. (O, kendini daha iyi göstermek için gerçeği kötü niyetle çarpıttı.)
 brooklyn     | Amerika Birleşik Devletleri'nin New York şehrinde bir bölge adı.                                                                                                                                                                                                                        | Brooklyn is known for its cultural diversity. (Brooklyn, kültürel çeşitliliği ile bilinir.)
 telling      | Bir şeyin gerçek veya önemli olduğunu açıkça gösteren.                                                                                                                                                                                                                                  | Her expression was very telling about how she felt. (Onun ifadesi, nasıl hissettiğini çok açıkça gösteriyordu.)
 humble       | Kendini başkalarından üstün görmeyen, alçakgönüllü kişi veya davranış.                                                                                                                                                                                                                  | He is a humble man despite his success. (Başarılarına rağmen o alçakgönüllü bir adamdır.)
 would        | Gelecekte bir durumda veya hayali bir durumda ne olacağını, isteği veya kibarca bir şeyi ifade etmek için kullanılır.                                                                                                                                                                   | I would like a cup of tea. (Bir fincan çay isterim.)
 tea          | Sıcak olarak içilen, genellikle yapraklarından hazırlanan bir içecek.                                                                                                                                                                                                                   | She drinks a cup of tea every morning. (O, her sabah bir fincan çay içer.)
 same         | Bir şeyin başka bir şeyle tamamen aynı olduğunu gösterir.                                                                                                                                                                                                                               | They wore the same clothes. (Onlar aynı kıyafetleri giyiyordu.)
 wish         | Bir şeyin olmasını istemek veya dilemek.                                                                                                                                                                                                                                                | I wish you a happy birthday. (Sana mutlu yıllar dilerim.)
 hand         | İnsanın kolunun ucunda bulunan, tutmaya ve hissetmeye yarayan organ.                                                                                                                                                                                                                    | She raised her hand to ask a question. (O, soru sormak için elini kaldırdı.)
 porn         | Cinsel içerikli görüntü veya yazılar. Genellikle yetişkinlere yönelik uygunsuz materyal anlamında kullanılır.                                                                                                                                                                           | He was caught watching porn on his computer. (Bilgisayarında cinsel içerikli görüntüler izlerken yakalandı.)
 solid        | Sert ve şekli değişmeyen madde veya nesne.                                                                                                                                                                                                                                              | Ice is solid when it is frozen. (Buz donduğunda sert olur.)
 whatsoever   | Hiçbir şekilde, kesinlikle, hiçbir koşulda (olumsuz cümlelerde vurguyu artırmak için kullanılır).                                                                                                                                                                                       | He has no interest whatsoever in sports. (Onun spora hiçbir şekilde ilgisi yoktur.)
 weeks        | Bir haftada yedi gün vardır. 'Weeks' kelimesi, birden fazla hafta anlamına gelir.                                                                                                                                                                                                       | I will visit you in two weeks. (Seni iki hafta içinde ziyaret edeceğim.)
 without      | Bir şeyin veya birinin yokluğunu, olmamasını belirtmek için kullanılır.                                                                                                                                                                                                                 | She left without her keys. (Anahtarları olmadan çıktı.)
 much         | Çok miktarda, sayılmayan şeyler için kullanılır.                                                                                                                                                                                                                                        | There isn't much water left. (Çok su kalmadı.)
 close        | Bir şeyin başka bir şeye çok yakın olması, arada az mesafe olması.                                                                                                                                                                                                                      | The shop is close to my house. (Dükkan evime çok yakın.)
 collateral   | Bir borcun geri ödenmesini güvence altına almak için gösterilen mal veya teminat.                                                                                                                                                                                                       | He used his car as collateral for the loan. (Kredi için arabasını teminat gösterdi.)
 invisibility | Görünmez olma durumu; bir şeyin gözle görülmemesi hali.                                                                                                                                                                                                                                 | The magician's trick created the illusion of invisibility. (Sihirbazın numarası görünmezlik yanılsaması yarattı.)
 b-button     | Bir elektronik cihazda, genellikle oyun kumandasında bulunan ve 'B' harfiyle işaretlenmiş düğme.                                                                                                                                                                                        | Press the B-button to jump in the game. (Oyunda zıplamak için B düğmesine bas.)
 charged      | Elektrik yükü taşıyan veya enerji dolu olan.                                                                                                                                                                                                                                            | The battery is fully charged. (Pil tamamen dolu.)
 matrix       | Bir şeyin oluştuğu, geliştiği veya işlediği temel yapı, çerçeve veya ortam; karmaşık ilişkilerin oluşturduğu altyapı.                                                                                                                                                                   | The city is the matrix of cultural activities. (Şehir, kültürel etkinliklerin oluştuğu/geliştiği temel çerçevedir.)
 pretend      | Gerçek olmayan bir şeyi gerçekmiş gibi göstermek veya davranmak.                                                                                                                                                                                                                        | Children often pretend to be superheroes. (Çocuklar sık sık süper kahramanmış gibi davranırlar.)
 because      | Bir şeyin nedenini veya sebebini göstermek için kullanılır.                                                                                                                                                                                                                             | I stayed home because it was raining. (Evde kaldım çünkü yağmur yağıyordu.)
 poster       | Duvarda veya başka bir yerde asılan, genellikle reklam veya duyuru amacıyla kullanılan büyük resim veya yazı.                                                                                                                                                                           | She put a poster of her favorite band on the wall. (O, duvara en sevdiği grubun posterini astı.)
 legs         | İnsanların veya hayvanların yürümek veya durmak için kullandığı vücut bölümleri.                                                                                                                                                                                                        | She hurt her legs while running. (O, koşarken bacaklarını incitti.)
 audition     | Bir oyuncu, müzisyen veya dansçının bir rol veya pozisyon için yeteneğini göstermek amacıyla yaptığı deneme.                                                                                                                                                                            | She went to the audition for the school play. (Okul oyunundaki rol için denemeye gitti.)
 turn         | Yön değiştirmek veya bir şeyi başka yöne çevirmek.                                                                                                                                                                                                                                      | Please turn left at the next street. (Lütfen sonraki sokakta sola dönün.)
 exciting     | İlgi uyandıran, heyecan verici, insanı mutlu eden veya meraklandıran şey.                                                                                                                                                                                                               | The movie was very exciting. (Film çok heyecan vericiydi.)
 couple       | Birlikte olan iki kişi, genellikle romantik ilişki içindeki iki kişi.                                                                                                                                                                                                                   | They are a happy couple. (Onlar mutlu bir çift.)
 yours        | Sahiplik belirten zamir. 'Senin olan' veya 'sizlerin olan' anlamında kullanılır.                                                                                                                                                                                                        | This book is yours. (Bu kitap senin.)
 quiet        | Sessiz, gürültüsüz veya sakin olan.                                                                                                                                                                                                                                                     | The library is very quiet. (Kütüphane çok sessizdir.)
 straight     | Düz, kıvrımı olmayan veya eğri olmayan.                                                                                                                                                                                                                                                 | Draw a straight line on the paper. (Kağıt üzerine düz bir çizgi çiz.)
 hands        | İnsanın kolunun ucunda bulunan, parmakları olan ve tutmaya yarayan organ.                                                                                                                                                                                                               | She held the book in her hands. (Kitabı ellerinde tuttu.)
 conversation | İki veya daha fazla kişinin karşılıklı konuşması.                                                                                                                                                                                                                                       | They had a long conversation about their plans. (Onlar planları hakkında uzun bir konuşma yaptılar.)
 agreement    | İki veya daha fazla kişinin veya tarafın üzerinde anlaştığı yazılı veya sözlü karar.                                                                                                                                                                                                    | They made an agreement to share the costs. (Masrafları paylaşmak için bir anlaşma yaptılar.)
 yeah         | Evet demenin samimi ve günlük yolu.                                                                                                                                                                                                                                                     | Yeah, I will come to the party. (Evet, partiye geleceğim.)
 invasion     | Bir yerin veya ülkenin askerlerle zorla ele geçirilmesi durumu.                                                                                                                                                                                                                         | The invasion of the country caused a lot of damage. (Ülkenin işgali çok zarar verdi.)
 ringing      | Bir telefonun, zilin ya da benzeri bir şeyin ses çıkarması.                                                                                                                                                                                                                             | The phone is ringing. (Telefon çalıyor.)
 standard     | Bir şeyin normal veya kabul edilen seviyesi ya da ölçüsü.                                                                                                                                                                                                                               | The company maintains high standards for quality. (Şirket kalite için yüksek standartlar korur.)
 hall         | Bir binada, genellikle girişte veya odalar arasında bulunan geniş ve uzun oda.                                                                                                                                                                                                          | We waited in the hall before the meeting started. (Toplantı başlamadan önce salonda bekledik.)
 serious      | Ciddi, önemli veya önemli bir durumu ifade eden.                                                                                                                                                                                                                                        | He has a serious problem with his car. (Onun arabasıyla ilgili ciddi bir sorunu var.)
 god          | Birçok dinde insanların inandığı, evreni yaratan ve yöneten üstün varlık.                                                                                                                                                                                                               | Many people believe in one god. (Birçok insan tek bir tanrıya inanır.)
 talking      | Konuşmak, sesli olarak bir şeyler söylemek.                                                                                                                                                                                                                                             | She is talking to her friend. (O, arkadaşına konuşuyor.)
 bollocks     | Britanya İngilizcesinde kaba argo; bir şeyin 'saçmalık', 'tamamen yanlış' veya 'uydurma' olduğunu küçümsemek için kullanılır. Ayrıca bazı yapı ve deyimlerde ('the bollocks' / 'the dog's bollocks') ironik veya övgü anlamında 'muhteşem/en iyi' diye kullanılabilir.                  | That's complete bollocks! (Bu tamamen saçmalık!)
 saint        | Dini inançlarda, çok iyi ve kutsal kabul edilen kişi.                                                                                                                                                                                                                                   | Saint Francis is known for his love of animals. (Aziz Francis hayvanlara olan sevgisiyle bilinir.)
 version      | Bir şeyin farklı bir şekli veya biçimi, özellikle yazılım, kitap veya film gibi ürünlerdeki değişik halleri.                                                                                                                                                                            | I bought the latest version of the software. (Yazılımın en yeni sürümünü aldım.)
 official     | Bir kurum veya yetkili kişi tarafından kabul edilen veya onaylanan.                                                                                                                                                                                                                     | This is the official statement from the government. (Bu, hükümetin resmi açıklamasıdır.)
 nine         | Sekizden sonra ve ondan önce gelen sayı.                                                                                                                                                                                                                                                | There are nine apples on the table. (Masada dokuz elma var.)
 these        | Yakındaki çoğul nesneleri veya kişileri gösteren kelime.                                                                                                                                                                                                                                | These books are mine. (Bu kitaplar benim.)
 saved        | Bir şeyi zarar görmekten, kaybetmekten veya kötü olmaktan korumak.                                                                                                                                                                                                                      | She saved the child from drowning. (O, çocuğu boğulmaktan kurtardı.)
(100 rows)

